checked,original_name,aligned_name,source,canonicalName,canonicalName_subbed,canonicalName_to_species,family,known,scientificNameAuthorship,subclass,taxonDistribution,taxonomicStatus,taxonRank
TRUE,Eucalyptus robertsonii,Eucalyptus robertsonii,APC list (known names),Eucalyptus radiata subsp. robertsonii,Eucalyptus radiata,Eucalyptus radiata,Myrtaceae,TRUE,(Blakely) L.A.S.Johnson & Blaxell,Magnoliidae,"NSW, ACT, Vic, Tas",accepted,Subspecies
TRUE,Eucalyptus radiata,Eucalyptus radiata,APC list (accepted),Eucalyptus radiata,Eucalyptus radiata,Eucalyptus radiata,Myrtaceae,TRUE,Sieber ex DC.,Magnoliidae,"Qld, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Eucalyptus radiata subsp. Robertsonii,Eucalyptus radiata subsp. robertsonii,APC list (accepted),Eucalyptus radiata subsp. robertsonii,Eucalyptus radiata,Eucalyptus radiata,Myrtaceae,TRUE,(Blakely) L.A.S.Johnson & Blaxell,Magnoliidae,"NSW, ACT, Vic, Tas",accepted,Subspecies
TRUE,Eucalyptus raveretiana,Eucalyptus raveretiana,APC list (accepted),Eucalyptus raveretiana,Eucalyptus raveretiana,Eucalyptus raveretiana,Myrtaceae,TRUE,F.Muell.,Magnoliidae,Qld,accepted,Species
TRUE,Eucalyptus redunca,Eucalyptus redunca,APC list (accepted),Eucalyptus redunca,Eucalyptus redunca,Eucalyptus redunca,Myrtaceae,TRUE,Schauer,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus regnans,Eucalyptus regnans,APC list (accepted),Eucalyptus regnans,Eucalyptus regnans,Eucalyptus regnans,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"Vic, Tas",accepted,Species
TRUE,Eucalyptus resinifera,Eucalyptus resinifera,APC list (accepted),Eucalyptus resinifera,Eucalyptus resinifera,Eucalyptus resinifera,Myrtaceae,TRUE,J.White,Magnoliidae,"WA (naturalised), Qld, NSW",accepted,Species
TRUE,Eucalyptus robusta,Eucalyptus robusta,APC list (accepted),Eucalyptus robusta,Eucalyptus robusta,Eucalyptus robusta,Myrtaceae,TRUE,Sm.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus rodwayi,Eucalyptus rodwayi,APC list (accepted),Eucalyptus rodwayi,Eucalyptus rodwayi,Eucalyptus rodwayi,Myrtaceae,TRUE,R.T.Baker & H.G.Sm.,Magnoliidae,Tas,accepted,Species
TRUE,Eucalyptus rossii,Eucalyptus rossii,APC list (accepted),Eucalyptus rossii,Eucalyptus rossii,Eucalyptus rossii,Myrtaceae,TRUE,R.T.Baker & H.G.Sm.,Magnoliidae,"NSW, ACT",accepted,Species
TRUE,Eucalyptus roycei,Eucalyptus roycei,APC list (accepted),Eucalyptus roycei,Eucalyptus roycei,Eucalyptus roycei,Myrtaceae,TRUE,"S.G.M.Carr, D.J.Carr & A.S.George",Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus rubida,Eucalyptus rubida,APC list (accepted),Eucalyptus rubida,Eucalyptus rubida,Eucalyptus rubida,Myrtaceae,TRUE,H.Deane & Maiden,Magnoliidae,"NSW, ACT, Vic, Tas",accepted,Species
TRUE,Eucalyptus rudis,Eucalyptus rudis,APC list (accepted),Eucalyptus rudis,Eucalyptus rudis,Eucalyptus rudis,Myrtaceae,TRUE,Endl.,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus saligna,Eucalyptus saligna,APC list (accepted),Eucalyptus saligna,Eucalyptus saligna,Eucalyptus saligna,Myrtaceae,TRUE,Sm.,Magnoliidae,"WA (naturalised), Qld, NSW, Vic (doubtfully naturalised)",accepted,Species
TRUE,Eucalyptus salmonophloia,Eucalyptus salmonophloia,APC list (accepted),Eucalyptus salmonophloia,Eucalyptus salmonophloia,Eucalyptus salmonophloia,Myrtaceae,TRUE,F.Muell.,Magnoliidae,WA,accepted,Species
